row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
252,309.170865507909,4.3085923,,,,,,,,,,,48993.688,43023.098,42571.184,39682.992,53752.1,51647.89,
833,309.1739652363491,6.368802,,,,,,,,,,,1377120.1,1216511.0,0,528536.94,1461179.8,0,
880,309.1740994292861,6.4698195,,,,,,,,,,,2521202.2,0,2618921.0,1616321.8,15739.703,1002664.6,
930,309.17441360291235,6.5980153,,,,,,,,,,,0,0,0,0,0,2790286.8,
472,309.2071077485412,5.264921,,,,,,,,,,,735894.5,716372.6,782525.44,1028440.8,1172741.6,1054666.5,
739,309.20711514283045,6.0448995,,,,63,,,,,,,462034.06,330221.28,312111.72,473204.66,498163.94,375634.8,
2037,311.168521429158,10.551441,,,,,,,,,,,336014.3,240089.39,0,325021.8,269178.94,0,
800,311.1685706049272,6.2553124,,,,,,,,,,,435923.38,1373663.8,52673.64,50075.56,871674.3,46557.414,
2030,311.16860060090835,10.482232,,,,,,,,,,,485886.4,710893.8,341070.88,198791.22,694355.94,187131.3,
2022,311.1686233886168,10.38993,,,,,,,,,,,70594.15,185897.08,608471.44,105901.65,367702.3,536323.7,
1699,311.1686236787831,8.139248,,,,32,,,,,,,1194765.4,431949.06,814071.9,809542.7,292919.88,685600.56,
847,311.16869055149317,6.3777204,,,,,,,,,,,1720996.4,436445.5,1863716.0,1733407.9,563628.0,2352272.5,
674,311.22258097329103,5.89172,,,,,,,,,,,78027.164,98140.33,41518.426,119396.99,227584.39,125246.93,
