Filename,2024_NEG_Y-EV_1_CTRL_Run89.mzML,2024_NEG_Y-EV_2_CTRL_Run118.mzML,2024_NEG_Y-EV_3_CTRL_Run139.mzML,2024_NEG_Y-p10_1_Run104.mzML,2024_NEG_Y-p10_2_Run130.mzML,2024_NEG_Y-p10_3_Run145.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
316/658.4457mz/6.55min,0.0,5297.0547,4827.0254,33301.17,7993031.5,208576.5
318/696.1426mz/6.52min,747734.6,818027.2,746774.9,308708.3,413184.66,473900.12
319/597.3048mz/6.55min,1637929.2,337744.28,198071.75,201186.19,266349.94,176568.72
320/784.1362mz/6.57min,352306.38,352835.53,283996.62,260533.2,252647.7,271837.84
321/311.1687mz/6.53min,1006255.06,41230.363,62962.875,115842.83,164354.94,68816.086
322/654.1321mz/6.61min,803863.5,856471.9,694922.5,571028.75,519536.53,647328.9
323/637.1419mz/6.62min,373913.62,515442.1,932459.44,516964.9,629351.9,421075.94
324/548.0646mz/6.64min,172924.17,536029.06,0.0,94870.64,0.0,26875.766
325/485.0687mz/6.65min,242018.06,1104102.2,65853.0,294930.3,28417.764,64081.695
326/325.1844mz/6.72min,61632.332,120502.33,905262.25,312493.38,416448.16,72810.4
327/573.1294mz/6.67min,435765.84,369878.94,580677.2,670504.75,450906.44,347293.62
328/299.2592mz/6.67min,217165.16,251367.44,298922.03,329988.38,57774.562,265013.38
329/590.1196mz/6.68min,331207.16,334874.88,255441.6,224754.4,205080.08,560573.0
331/701.1544mz/6.71min,220384.11,345496.44,730440.6,375680.84,485208.88,274266.62
332/718.1445mz/6.71min,680527.8,643900.6,452922.44,426706.56,387835.16,485228.34
333/597.3048mz/6.72min,386943.9,0.0,0.0,0.0,0.0,0.0
334/776.545mz/6.77min,0.0,0.0,128504.38,2462340.8,14939539.0,0.0
336/590.1196mz/6.73min,383900.94,367029.03,281122.06,264820.8,247477.73,305745.28
337/299.2592mz/6.81min,863758.6,869422.56,748208.0,1197953.5,514353.22,1000661.56
338/568.3622mz/6.79min,74914.25,53738.906,23529.664,10388.913,26916.818,0.0
339/654.1321mz/6.8min,2279394.8,2184351.2,1648955.5,1517512.1,1302624.5,1721157.1
340/782.1569mz/6.8min,515145.4,448070.1,300458.72,293569.72,216717.23,329602.5
341/325.1844mz/6.81min,167602.98,479567.56,557967.44,380086.5,336745.06,719764.5
342/765.1669mz/6.81min,125168.98,207725.62,429157.72,236656.67,348059.72,194292.14
344/637.1419mz/6.83min,816552.75,1275770.4,2528052.0,1517288.5,1932438.6,1232250.4
346/829.1796mz/6.89min,82584.17,135556.56,310842.78,188322.22,245472.27,124927.48
347/846.1694mz/6.9min,335415.7,279943.4,193672.34,156308.92,131656.98,202198.06
348/299.2592mz/6.9min,429637.3,421693.53,517147.3,799487.7,477717.38,434349.03
349/701.1544mz/6.91min,736709.6,1380501.6,2782409.2,1710597.5,2208078.0,1297106.6
350/568.3622mz/6.91min,1035367.9,830028.5,576461.9,565171.9,766397.06,428298.56
351/718.1446mz/6.92min,2563472.8,2403511.5,1640605.9,1457361.9,1255562.2,1766709.5
352/293.2123mz/6.92min,797518.7,900611.94,942030.5,639665.2,217920.77,771879.3
354/421.2264mz/6.9min,0.0,1359082.9,1422667.0,1479734.4,1486048.9,1496144.6
355/325.1844mz/6.93min,1086621.4,488986.3,27555.057,390817.72,335323.03,460440.9
356/910.1821mz/6.97min,210434.3,189128.56,148446.69,112197.67,92750.055,113813.72
357/893.1924mz/6.97min,12637.223,75728.35,160695.7,97682.51,130407.76,64879.996
358/765.1668mz/6.99min,538004.0,1086831.0,2039658.6,1268098.4,1571401.9,966142.06
359/782.157mz/6.99min,2064156.5,1913381.1,1305847.5,1188157.2,1162307.2,1429321.4
360/654.1321mz/7.01min,590259.25,587802.8,395267.7,396162.5,332765.2,468091.44
361/299.2592mz/7.02min,54202.168,64904.77,61993.23,38962.01,0.0,36488.23
362/637.1419mz/7.03min,220112.39,418421.94,837551.7,554294.06,633523.4,440490.16
364/974.1941mz/7.03min,125534.78,163389.36,48932.484,48681.285,53634.254,80127.73
365/829.1793mz/7.05min,347284.75,715131.2,1638869.2,926873.9,1127237.1,692373.94
366/846.1693mz/7.05min,1460922.4,1458623.5,911850.56,855432.2,776821.25,1003848.9
367/760.5136mz/7.06min,0.0,1432075.6,458073.56,935075.56,351492.9,11036440.0
369/701.1544mz/7.08min,443865.78,830867.44,1826127.5,1173215.0,1391079.2,963611.94
370/718.1445mz/7.08min,1314355.8,1300669.9,837015.4,826751.2,702549.0,1033302.1
371/1038.2067mz/7.08min,62863.637,66401.875,53177.4,34539.543,13025.637,46044.473
372/776.545mz/7.04min,0.0,0.0,872888.25,12647860.0,2739569.0,0.0
373/802.5606mz/7.15min,0.0,0.0,22262098.0,553248.9,3211855.5,0.0
374/893.1918mz/7.1min,222991.58,471607.62,1146312.0,657723.25,789204.44,485235.5
375/910.182mz/7.1min,981420.25,982499.3,600235.9,546015.8,540746.94,673100.75
376/717.5272mz/7.14min,0.0,0.0,6914794.0,329925.84,8228101.5,0.0
377/716.5238mz/7.16min,0.0,0.0,15762962.0,1397645.4,18583242.0,0.0
378/765.1668mz/7.14min,444783.8,883390.06,2202159.0,1374414.4,1594344.0,1136190.2
379/782.157mz/7.14min,1620650.6,1682981.0,1013296.6,979028.6,811704.6,1108887.2
380/421.2264mz/7.14min,1359465.2,0.0,0.0,0.0,0.0,0.0
381/325.1844mz/7.1min,668422.5,37521.62,0.0,34244.883,10902.73,27200.39
382/974.1942mz/7.15min,627665.0,812012.5,431277.22,383961.47,374729.47,473902.9
383/957.2041mz/7.15min,109972.35,293350.38,702193.1,430347.88,524337.4,301294.66
384/599.3205mz/7.22min,8711.318,0.0,1156092.4,804793.8,1098762.6,0.0
385/846.1693mz/7.19min,1438480.9,1516737.6,895763.6,829022.9,699760.7,962254.44
386/829.1793mz/7.19min,406564.38,909618.75,1997162.9,1331094.2,1531997.1,1091890.2
387/1038.2066mz/7.2min,384533.6,463423.8,270557.0,277988.16,203005.47,275484.38
388/1021.2166mz/7.19min,48366.273,173014.38,526584.06,274343.75,317087.72,199843.14
389/271.2279mz/7.22min,49573.793,55614.246,59730.758,39724.58,426567.16,42089.168
390/1085.2288mz/7.24min,14209.097,88616.125,345369.4,149846.98,203024.73,131174.88
391/910.1819mz/7.24min,1147151.9,1191039.4,774061.44,686613.9,602355.3,716682.56
392/684.4613mz/7.26min,0.0,0.0,0.0,0.0,2342327.0,0.0
393/893.1917mz/7.27min,354495.12,804185.25,1686354.0,1051277.5,1264690.9,905836.9
394/974.1941mz/7.29min,833985.3,868026.25,586151.25,512371.0,256952.31,531293.8
395/957.204mz/7.29min,287269.44,691311.4,1328739.5,788187.4,982093.56,765347.56
396/599.3205mz/7.27min,19149.56,2077303.2,14425.379,1334997.2,1024301.6,1224443.6
398/701.1543mz/7.32min,48831.75,118897.45,239925.19,158554.34,180204.75,167305.88
400/1021.2164mz/7.33min,176408.14,442072.97,983171.94,599822.9,716705.4,552625.94
401/716.5239mz/7.3min,0.0,0.0,1367164.8,6980555.5,3101477.2,0.0
402/447.0918mz/7.33min,774130.8,1824385.2,166565.94,2018812.4,75438.484,206183.19
404/401.0862mz/7.33min,104558.57,260244.34,15270.518,291383.16,0.0,21373.08
405/1038.2066mz/7.34min,543008.25,598302.0,237487.61,354112.66,326536.7,341295.16
406/802.5606mz/7.36min,0.0,0.0,1656036.6,1679831.4,17837792.0,0.0
407/782.1569mz/7.36min,226794.06,239391.53,145436.16,127891.67,110360.96,144308.08
408/765.1668mz/7.37min,64474.285,307430.72,486144.97,312844.1,352549.06,333497.38
410/830.5919mz/7.37min,0.0,274114.7,105706.26,52849.367,0.0,4993312.0
411/846.1694mz/7.4min,255463.03,271714.7,259695.1,176772.19,147103.7,191624.44
412/829.1793mz/7.41min,260535.6,404351.8,626604.94,420052.3,492518.6,442658.47
413/893.1917mz/7.42min,432675.56,557522.1,662909.8,510689.8,515129.8,527653.75
414/910.1819mz/7.43min,224523.94,200629.47,261815.9,142595.23,137936.38,136322.06
415/134.8947mz/7.44min,922817.9,1122907.0,651587.7,662779.1,642868.4,692702.06
416/974.1941mz/7.44min,179840.84,144822.64,222262.38,109744.47,115871.95,61024.582
417/353.1423mz/7.44min,576094.6,296982.38,187134.27,144273.02,142373.28,96443.76
418/957.204mz/7.46min,445433.6,550130.6,680608.25,518454.84,539653.94,538064.94
419/1021.2164mz/7.47min,316624.38,478672.38,562603.7,466610.38,434007.2,466841.6
420/1038.2065mz/7.49min,162543.33,152872.3,174765.0,112260.46,113220.695,117596.234
421/805.4883mz/7.49min,0.0,0.0,40479.562,124030.836,1425738.8,0.0
423/134.8947mz/7.53min,233570.0,785435.4,428367.53,542290.8,588020.3,376365.12
424/802.5606mz/7.53min,0.0,0.0,3242988.8,6357956.0,3812351.5,0.0
425/599.3205mz/7.59min,2331344.0,0.0,0.0,0.0,0.0,0.0
426/804.5754mz/7.6min,0.0,2538000.2,1058667.9,1523512.6,0.0,25901300.0
427/760.5135mz/7.55min,0.0,7524608.5,440994.97,694675.0,23171.807,806185.06
430/1021.2165mz/7.64min,0.0,53874.664,92325.38,61825.223,73106.234,66514.84
432/720.4824mz/7.67min,0.0,589869.7,806439.25,1145681.2,3870688.2,1395162.8
434/758.498mz/7.71min,0.0,0.0,3241736.2,0.0,0.0,0.0
435/732.4824mz/7.72min,0.0,0.0,208869.98,199530.25,2137862.2,0.0
436/100.9337mz/7.84min,1271478.2,1150849.9,453735.34,144373.16,131052.84,361888.0
437/115.9208mz/7.84min,2061448.5,1938771.2,2443409.5,1440256.1,1731579.0,883610.0
438/116.9286mz/7.84min,10945287.0,6527461.0,5038330.0,5442454.0,5118043.0,5480293.5
439/134.8947mz/7.84min,5039524.5,1353587.1,1363928.6,993206.56,1127299.9,1257594.0
440/186.9706mz/7.84min,158214.22,207601.62,173259.78,227232.77,133303.62,173506.1
442/161.9136mz/7.84min,1657096.5,325903.66,226290.42,248342.28,195019.92,163674.98
