Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C2-a_Run119.mzML,NEG_D5-211-C2-b_Run122.mzML,NEG_D5-211-C2-c_Run125.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
140/566.3461mz/6.27min,0.0,0.0,0.0,226128.88,184075.6,190549.47
141/496.2682mz/6.32min,88521.49,97876.2,78690.78,855731.8,712794.5,768181.44
142/277.1842mz/6.26min,63073.477,484446.06,86923.15,0.0,8743.426,52986.438
143/478.2938mz/6.3min,48826.35,50700.543,261750.27,385446.94,308182.66,351485.66
144/566.3461mz/6.37min,0.0,0.0,0.0,595035.94,427789.94,442717.56
145/291.1999mz/6.36min,90224.68,989414.9,154414.14,60389.914,60446.887,247746.86
146/571.2887mz/6.44min,0.0,0.0,0.0,7037970.5,6329394.5,6235209.0
147/271.2278mz/6.51min,38811.418,37512.03,66051.22,34649.72,42071.156,43080.355
148/311.1686mz/6.54min,156348.81,151854.1,176904.1,1169051.2,1009835.3,968096.3
149/654.1322mz/6.56min,394565.16,391032.94,351954.7,307096.12,306860.47,313160.38
150/571.289mz/6.56min,904295.8,1052554.6,793612.4,2211479.5,67132.164,51944.316
151/291.2mz/6.54min,3345.4172,357237.1,33608.402,0.0,0.0,71938.32
152/299.259mz/6.61min,98935.83,104150.34,42225.164,42422.273,128401.0,84444.57
153/311.1686mz/6.64min,1547892.8,1420470.9,1531263.8,846550.5,684435.1,720535.06
154/718.1449mz/6.66min,335500.06,323824.22,287828.6,242250.25,248599.8,255444.69
155/291.2mz/6.7min,0.0,383065.0,35170.7,0.0,0.0,62700.125
156/299.259mz/6.74min,146126.11,94998.1,84303.62,184693.28,106668.05,743261.06
157/782.1574mz/6.75min,222726.42,220702.92,197190.48,171491.52,171974.02,165348.08
158/311.1686mz/6.72min,1025905.8,1002933.3,1119045.8,224676.0,174315.73,226920.92
159/654.1323mz/6.78min,948187.9,916515.94,868030.6,724606.44,464235.9,681030.9
160/568.3616mz/6.79min,0.0,0.0,0.0,440015.4,344158.4,358519.06
161/299.259mz/6.83min,391360.9,444463.7,381722.44,430758.72,386643.4,462585.28
162/846.1698mz/6.83min,131716.23,139503.3,131231.05,130071.81,96357.41,102896.07
163/718.145mz/6.86min,1043433.44,1007725.9,925504.5,803818.44,760394.0,789020.8
