row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
1480,134.89458548206622,7.453773,,,,54,,,,,,,8891684.0,9904193.0,8984110.0,9555202.0,2409350.2,4332055.5,
1519,134.894589934013,7.5841427,,,,,,,,,,,2031829.0,3169514.0,2083147.0,2610370.0,4428427.5,1746109.1,
1707,134.8945927046157,7.781648,,,,21,,,,,,,9241190.0,6931130.5,5606497.0,1.1252309E7,4880189.5,6285876.5,
1331,134.89459885549488,7.1443295,,,,,,,,,,,1818349.9,3357459.2,2081073.0,3187262.2,3293398.0,2006478.9,
2091,134.89460940293395,10.238387,,,,,,,,,,,895116.75,875324.75,1451355.4,1034893.8,1936050.0,2778206.8,
2049,134.89461268382016,10.178597,,,,8,,,,,,,4752129.5,1.6043654E7,3805628.5,1.3246433E7,4068533.5,5285355.0,
2046,135.97087546261005,10.163211,,,,,,,,,,,551695.9,451683.78,851320.8,483212.5,2849364.2,3057350.8,
310,136.04032884407744,3.0493886,,,,,,,,,,,137920.12,156666.95,132560.6,169390.7,239060.52,171517.86,
197,136.04035034677693,2.4073694,,,,,,,,,,,460758.78,472529.47,399410.94,500949.4,524176.03,397014.75,
134,138.01960692813302,0.8125015,,,,,,,,,,,150572.56,232919.2,253472.06,378319.2,431275.06,348299.97,
354,138.0197096714275,3.3233128,,,,,,,,,,,885026.25,1110769.4,935043.1,1304949.8,1421864.0,1603256.0,
473,141.09214390295855,3.948593,,,,,,,,,,,384088.78,426432.84,258584.31,737396.06,1002333.6,815008.56,
454,141.0921523488109,3.8335686,,,,39,,,,,,,310088.8,404515.22,266442.44,593827.44,766932.8,667089.1,
188,144.04544910246673,2.3477154,,,,,,,,,,,1529922.9,1134322.8,914013.1,1095890.0,1085333.2,1015441.7,
346,144.04548176516894,3.2742357,,,,76,,,,,,,671242.5,619315.8,411905.53,514075.25,508949.28,456265.25,
401,144.04550137534454,3.5511482,,,,,,,,,,,152102.0,108295.12,22764.494,230864.7,131127.83,290182.16,
136,144.0455040637942,0.8164671,,,,,,,,,,,134635.94,3509.4343,3222.982,10108.322,25564.496,14879.028,
125,144.06655209879224,0.7963958,,,,,,,,,,,689226.75,922454.94,499338.2,982537.5,435506.47,1567326.5,
