row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,Unnamed: 19
1247,643.3671359685528,5.5107703,,,,24.0,,,,,,,979320.5,928393.3,1523418.0,1456510.2,1666363.8,2388544.5,
3133,643.5269951837039,9.732652,,,,,,,,,,,137974.31,0.0,531016.06,24099.683999999997,1011145.06,1720214.0,
1628,644.3794213065415,6.3552230000000005,,,,,,,,,,,49541.15,34198.187999999995,36201.586,32777.363,161820.33,98306.58,
1405,644.3798301743799,5.871169999999999,,,,73.0,,,,,,,9391205.0,8600754.0,10399230.0,13435096.0,24993948.0,28519360.0,
1508,644.3798593809322,6.0674496,,,,45.0,,,,,,,3406956.2,3642857.2,5230738.0,4892521.5,9578924.0,9540385.0,
3001,644.5029012381128,8.685308000000001,,,,,,,,,,,375849.72,71860.9,150924.89,28465.986,1052793.0,703858.5,
2668,645.3889387757748,8.043367,,,,,,,,,,,3016.7249,0.0,0.0,323662.06,0.0,0.0,
2635,645.3890199334152,7.906621,,,,,,,,,,,0.0,0.0,0.0,282681.2,0.0,0.0,
2023,645.4141300989538,7.259127,,,,,,,,,,,40394.848,9734.63,23192.312,16162.605,601479.06,74162.836,
3136,645.5423087125762,9.782389,,,,,,,,,,,82371.914,0.0,76479.98,0.0,626714.8,477758.34,
3157,645.5425943522775,10.123811,,,,,,,,,,,0.0,0.0,0.0,0.0,54925.992,112618.54,
1225,646.3584926799023,5.477543,,,,41.0,,,,,,,555539.6,390657.25,738327.25,720502.94,935562.56,1212728.9,
1109,646.3587387591156,5.320832299999999,,,,21.0,,,,,,,585619.75,574429.56,604471.5,585145.5,1388344.6,1600456.4,
1135,648.3765965536397,5.3449817,,,,21.0,,,,,,,180790.48,174115.73,313691.75,360395.3,186366.17,790695.44,
2818,650.3676743212079,8.152579,,,,34.0,,,,,,,1828691.9,3809920.5,884701.75,2784798.0,0.0,0.0,
3238,650.3677116382515,10.3283615,,,,,,,,,,,661006.75,794680.0,298698.44,537018.06,0.0,0.0,
1806,650.3677945240496,6.789869,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1268487.8,
1124,650.3716873223451,5.340744,,,,21.0,,,,,,,60722.29,64777.242,124040.55,131444.47,82409.97,321899.72,
1722,650.4496766541865,6.5967193,,,,32.0,,,,,,,228733.77,174090.58,470082.7,390216.16,124979.13,512250.1,
239,652.2164386175926,3.919918,,,,,,,,,,,0.0,0.0,1128050.9,1162823.8,0.0,659722.4,
182,652.2166011396472,3.6738932,,,,,,,,,,,0.0,0.0,1343645.8,1115361.4,0.0,873001.1,
178,652.2166278778408,3.628506,,,,,,,,,,,0.0,0.0,903833.44,109637.91,0.0,63253.42,
1696,652.3833049179402,6.546643,,,,,,,,,,,133346.03,78352.28,58012.687999999995,11937.403999999999,600494.06,214632.77,
3061,652.3843298004168,9.230798,,,,,,,,,,,0.0,0.0,0.0,0.0,292655.12,3607.2666,
3178,652.3846565670233,10.190439,,,,,,,,,,,0.0,0.0,0.0,0.0,201871.75,0.0,
2115,653.2754304621461,7.419908500000001,,,,,,,,,,,0.0,0.0,136359.69,57629.44,0.0,271242.75,
1997,653.2754721385172,7.1697826000000004,,,,,,,,,,,0.0,0.0,517914.12,408107.97,0.0,371143.62,
3078,653.5114152827013,9.261725,,,,128.0,,,,,,,222241.02,33786.016,577229.94,43304.984000000004,1061845.2,1308613.1,
1397,654.408417273519,5.8667397,,,,73.0,,,,,,,28497320.0,28595610.0,37758696.0,35942028.0,29124350.0,43699052.0,
1505,654.4087205237681,6.065811599999999,,,,45.0,,,,,,,6549638.0,7005441.5,7922395.0,7262282.0,4550388.0,8788467.0,
1622,654.4095946502957,6.3259735,,,,,,,,,,,210341.73,139406.83,264966.97,87314.91,89692.09,248123.2,
1554,654.4447487232236,6.151362000000001,,,,80.0,,,,,,,2867899.2,2905590.0,4714034.0,4517318.5,900110.25,4997397.5,
2998,654.5315365735422,8.686193,,,,,,,,,,,239849.34,110793.51,81612.6,31595.256,404440.12,188660.62,
2323,655.2909008840437,7.659953999999999,,,,,,,,,,,0.0,0.0,1483056.6,509939.38,0.0,39203.945,
2634,655.2910841493324,7.902921000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1060749.5,
2240,655.291185556271,7.5274167,,,,,,,,,,,0.0,0.0,372539.5,1168438.0,0.0,4102.248,
1902,655.2914224735651,7.00144,,,,,,,,,,,0.0,0.0,212333.84,232304.16,0.0,0.0,
1502,655.4117514229325,6.0641346,,,,,,,,,,,2517098.2,2315407.5,2920942.2,2602181.5,1747332.6,3240862.8,
2027,655.4428462280778,7.254599000000001,,,,139.0,,,,,,,1024845.0,792873.1,821502.44,801605.3,1754035.8,1000847.1,
1555,655.4478642334435,6.151362000000001,,,,80.0,,,,,,,1051589.6,1056627.9,1758821.6,1715633.9,311890.5,1855079.6,
3117,655.5270174345409,9.549814,,,,82.0,,,,,,,832935.3,205488.48,3800829.2,429508.62,4315624.5,7989858.5,
1458,656.3798748079597,5.975232599999999,,,,85.0,,,,,,,772368.5,730856.2,876855.4,1151806.5,1266652.1,2290290.2,
1526,656.379990857969,6.093348000000001,,,,26.0,,,,,,,1235339.4,1249849.4,1628471.9,1536401.9,3977070.0,2955876.8,
1503,656.4137273184365,6.065787,,,,,,,,,,,566549.9,582899.3,642677.94,576954.44,315913.0,706573.94,
226,657.0496940380189,3.866227,,,,,,,,,,,0.0,0.0,392844.34,198626.14,0.0,355008.75,
1333,657.3825715875709,5.701221,,,,44.0,,,,,,,4181179.2,4020428.8,7245788.0,6918762.0,11035843.0,12864237.0,
3044,657.3857124949297,8.926463,,,,,,,,,,,161260.66,7368.4175,22074.62,0.0,423907.47,117956.18,
1398,657.416064208356,5.8667397,,,,73.0,,,,,,,360680.62,369938.47,501685.25,462356.66,378639.56,579519.7,
1748,658.3954734384455,6.661455,,,,48.0,,,,,,,2648730.0,2474213.5,3602622.2,2194645.2,4017966.5,6520714.5,
1605,658.395672416584,6.272310299999999,,,,31.0,,,,,,,22559642.0,21672652.0,27841902.0,26375860.0,50929970.0,48386280.0,
1500,658.3965430559531,6.0649223,,,,45.0,,,,,,,169084.2,135263.42,754832.5,863109.6,496122.62,787004.75,
1604,660.3934951628371,6.271326,,,,31.0,,,,,,,7938025.0,7627377.5,9783646.0,9113255.0,18263300.0,17111672.0,
2704,661.386009782084,8.116539,,,,,,,,,,,0.0,0.0,0.0,0.0,589354.94,0.0,
1300,662.3905317674908,5.5991635,,,,108.0,,,,,,,2564425.2,2530755.8,4401864.0,4568925.5,3475428.0,7649598.5,
3179,662.4122835042432,10.184994,,,,,,,,,,,0.0,0.0,0.0,0.0,227030.2,14554.071000000002,
1697,662.4123726052827,6.549451400000001,,,,173.0,,,,,,,512256.7,363542.94,425337.8,277700.88,558156.7,481719.84,
