Filename,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_3_Run161.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
2898/740.5521mz/7.84min,528032.3,125517.65,120309.39,81934.61,140570.95,129926.04
2905/696.5248mz/7.85min,817188.6,181088.94,199987.81,215204.47,240628.77,187436.95
2907/612.5817mz/7.92min,948113.75,80917.68,24407.041,272120.4,317467.22,25443.578
2908/652.4987mz/7.86min,944791.3,186608.7,215273.39,234772.0,272682.47,178420.12
2912/495.3076mz/7.86min,953986.8,258135.58,3163452.8,104532.9,1841950.1,1729415.8
2913/473.3256mz/7.87min,836658.75,139989.11,860174.5,91086.414,889367.3,597263.7
2917/608.4727mz/7.87min,785175.94,168256.58,148386.08,150429.62,212024.81,191230.8
2918/438.2995mz/7.87min,515449.03,373491.0,740345.2,279341.06,727576.06,729414.3
2919/427.3557mz/7.87min,365187.22,267475.5,539348.4,110261.21,364791.5,495490.03
2923/564.4459mz/7.88min,401395.03,63089.254,113908.414,57414.39,88365.0,82646.47
2924/353.341mz/7.88min,475183.94,409190.12,896383.0,261310.84,709304.5,732583.94
2925/467.3713mz/7.89min,505758.94,314311.25,1492013.5,422913.56,633605.4,588224.2
2926/310.3099mz/7.88min,323559.88,694604.2,570765.44,175072.02,488685.7,581747.7
2928/453.3467mz/7.88min,211387.31,88788.66,570424.06,80202.42,465330.2,358107.44
2934/600.5819mz/7.92min,5209196.5,2605957.8,745440.3,2541925.8,3150886.2,883765.5
2935/466.3674mz/7.89min,1509545.8,834665.44,1693115.8,972097.3,1770999.1,1566403.1
2937/510.3573mz/7.89min,425813.5,188314.16,608842.9,190922.97,668326.5,647843.9
2939/587.3915mz/7.89min,210614.95,4135.473,376479.2,0.0,428892.22,316319.97
2942/460.2968mz/7.89min,230818.14,135485.33,538770.8,91392.58,415259.9,407368.6
2944/588.582mz/7.96min,1987939.5,199654.83,44127.76,453377.75,466509.1,114631.45
2949/406.2524mz/7.9min,11231125.0,9460793.0,20053510.0,7153217.5,18569040.0,17319394.0
2950/420.2315mz/7.9min,1098618.6,646038.44,1598316.4,574284.3,1704863.5,1367709.6
2951/409.3095mz/7.9min,2381617.2,916914.9,3056161.5,897872.5,3194541.0,2743303.8
2952/302.1534mz/7.9min,194819.9,183898.72,420519.3,131448.72,394604.25,364966.78
2958/429.3361mz/7.92min,481321.88,210202.58,467897.47,238277.78,474904.66,437476.2
2959/804.5496mz/7.95min,190604.52,2719944.0,0.0,649209.9,535518.9,228102.83
2961/423.3081mz/7.93min,295212.0,159133.11,457987.2,129064.67,429717.44,346937.4
2963/422.3045mz/7.93min,1088455.5,662465.25,1729144.6,531973.4,1497178.9,1467162.9
2964/516.3681mz/7.93min,81521.52,89290.375,358673.56,43699.35,166994.92,150971.88
2968/702.506mz/7.96min,10934.494,0.0,3335.6992,2143062.5,0.0,0.0
2970/410.3129mz/7.97min,1015456.06,259789.73,1860871.6,614050.9,1029153.8,814609.94
2972/325.3459mz/7.95min,360043.22,488041.56,1112446.6,291503.38,749771.4,719457.4
2974/343.3566mz/7.95min,1453416.9,1975499.4,4488036.5,1242636.8,3009168.0,2901954.5
2975/449.302mz/7.97min,147354.56,42544.758,638196.5,3938.6812,311935.28,228911.28
2981/500.4667mz/7.96min,16439.467,1445980.6,899161.0,11891.842,4381999.5,351613.7
2986/229.1432mz/7.97min,252226.03,75066.89,296887.8,132344.33,300103.3,188343.83
2987/470.4562mz/8.0min,1755535.9,477799.66,0.0,1215914.9,621074.1,0.0
2988/526.4096mz/7.98min,1646638.2,386992.9,1156812.0,796068.56,1690693.4,815425.4
2990/626.5975mz/8.01min,5241627.0,2715896.2,717241.9,2552045.8,3129307.5,926873.2
2991/491.3724mz/7.98min,636218.44,289002.34,629452.2,349974.72,982791.6,473686.28
2996/531.3651mz/7.98min,663319.0,368107.78,2310077.0,255695.7,1616622.5,1118773.2
2997/312.3255mz/7.98min,191540.52,183395.69,357719.34,228233.14,482072.1,472841.03
2999/474.2763mz/7.98min,313423.25,310689.22,686949.3,222760.78,492677.22,351477.12
3000/459.3462mz/7.98min,1581987.9,879878.75,2677239.5,971047.4,2135680.8,1406692.8
3004/481.3283mz/7.98min,162336.38,100520.09,856206.06,56748.285,440838.06,241711.2
3011/526.3522mz/7.99min,361302.06,182368.58,491900.53,157024.38,404799.34,345292.16
3015/399.3253mz/8.0min,525463.75,416460.66,928478.25,342171.53,737392.2,663005.06
3016/375.3041mz/8.0min,12154636.0,11336140.0,20004608.0,8420736.0,14049219.0,13876051.0
3018/249.1634mz/8.0min,451746.78,427846.72,853545.7,342658.34,621656.7,542664.94
3019/392.3024mz/8.0min,282860.94,213658.1,768033.9,163000.27,526766.0,365365.16
3020/393.3147mz/8.0min,2120783.0,2114147.2,4159780.5,1419237.8,2691534.0,2625305.0
3021/537.3752mz/7.99min,31905.852,13313.584,330406.94,0.0,95955.18,45996.723
