"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"3451/628.5523mz/9.62min",675505.42,556649.9,979735.44,794360.94,1032776.9,431600.06,376804.97
"3452/645.5426mz/9.62min",341511.275,230812.67,1132707.9,452209.88,1020621.06,122702.85,101165.58
"3454/624.521mz/9.67min",694773.375,491691.25,1266429,867689,1397984.1,521857.75,379120.53
"3455/631.5269mz/9.67min",30447.366,10149.122,191553.2,50745.61,180248.3,10149.122,10149.122
"3456/561.4195mz/9.74min",1162877.3,863248.5,259183.16,1718353.2,583115,1462506.1,20448554
"3457/495.442mz/9.7min",332533.955,285112.5,452502.53,370713.03,540524.94,294354.88,250239.45
"3458/481.4262mz/9.7min",44823.653,24549.904,86176.36,65097.402,85584.625,19155.135,11661.486
"3459/283.2641mz/9.71min",158757.16,110976.445,235942.73,178273.94,292966.38,139240.38,93021.35
"3460/604.4657mz/9.7min",14426.9,14426.9,72134.5,14426.9,3201457,14426.9,14426.9
"3461/713.4766mz/9.77min",745264.65,656344.3,334768.25,914553.7,4521873,834185,119272.33
"3462/574.497mz/9.73min",280727.24,221434.92,461235.34,340019.56,847397.44,129882.47,86466.44
"3463/439.4158mz/9.75min",143640.498,239400.83,664175.3,307745.66,47880.166,47880.166,47880.166
"3464/601.5164mz/9.73min",824674.03,508861.56,2431715.5,1140486.5,2267094.8,339994.3,270457.88
"3465/584.5262mz/9.75min",2180036.05,1947375.6,3031037.5,2412696.5,2936105.2,1553080.4,1319042
"3467/645.5427mz/9.76min",241904.63,172430.38,623616.06,311378.88,518221.53,35594.86,32674.947
"3468/628.5525mz/9.77min",501224.13,470530.56,785284,531917.7,662112.44,322349.97,281245.44
"3469/579.3305mz/9.86min",594262.82,1644043.6,515033.1,554543.94,239290.11,1183021.2,633981.7
"3470/571.4501mz/9.84min",468891.31,430112.84,763788,636839.06,507669.78,356266.44,349446.03
"3471/563.3357mz/9.85min",191796.805,194163.64,198168.94,189429.97,12243.898,381583.7,183772.97
"3473/473.2825mz/9.86min",850773.575,778293.6,946836.2,993437.25,901073.75,800473.4,632217.3
"3474/509.4574mz/9.91min",267692.625,332902.38,299274.56,236110.69,418372.34,143306.11,214144.77
"3476/106.0411mz/9.99min",58576.165,10142.684,1058671.9,81801.5,11465.893,35350.83,123137.27
"3477/603.4657mz/9.99min",1537390.6,1537390.6,1537390.6,1537390.6,7686953,1537390.6,1537390.6
"3479/599.5452mz/10.01min",739873.78,681983,960335.5,797764.56,914370.06,557690.3,454098.06
"3480/598.5418mz/10.01min",1953293.8,1773826.6,2588915.8,2132761,2419706.2,1449271,1194220.5
"3481/561.4194mz/10.01min",1709330.7,614375.1,831026.6,9685973,818884.7,2587634.8,3132469.2
"3482/615.5318mz/10.01min",836052.975,582887.75,2365838.5,1089218.2,2114936.2,361495.47,273192.66
"3483/793.6564mz/10.07min",896410.5,698491.8,1416957.5,1033323.1,1990898.8,759497.9,593873.56
"3484/659.5583mz/10.08min",175911.015,100165.87,692143.6,251656.16,525936.9,42055.176,29912.201
"3485/579.3305mz/10.06min",640377.975,612572.25,593375.06,693711.7,201826.14,3624957,668183.7
"3486/561.4193mz/10.09min",1460714.25,927659.75,1012876.6,2536108,697328.44,10037313,1908551.9
"3487/132.0302mz/10.16min",46851.66,27053.562,159802.88,63338.992,80342.73,30364.328,20663.309
"3488/106.041mz/10.18min",83161.859,9594.441,931807.9,155087.33,29135.209,101413.53,64910.188
"3489/591.4294mz/10.16min",6154.7574,2051.5858,2051.5858,2051.5858,14081.205,398200.12,10257.929
"3490/574.451mz/10.18min",257216.085,321399.47,38606.54,2275172.8,38606.54,193032.7,7014923.5
"3492/135.9709mz/10.17min",536081.39,486470.53,549223,567705.06,414861.3,522939.78,578511.75
"3493/134.8946mz/10.18min",4096480,6681470,2277373.8,3077606,6872542,5115354,2325667
"3495/604.4622mz/10.18min",918256.075,1258195.4,4128209,578316.75,443489.4,1677069.4,140655.92
"3496/729.4709mz/10.19min",229387.892,1504667.2,424866.3,3109539.5,33909.484,1567.459,7837.295
