"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"491/300.1565mz/2.81min",192518.24,60835.605,125279.65,1491327.9,4630751,259756.83,46797.93
"492/293.1143mz/2.8min",37742.1765,5079.066,5079.066,25395.33,53944.453,63519.773,50089.023
"493/345.1304mz/2.8min",56803.4745,83902.52,119091.8,52091,57929.004,40987.992,55677.945
"494/363.1519mz/2.8min",18149.8626,6049.9542,6049.9542,183088.08,841996.4,30249.771,6049.9542
"495/390.0827mz/2.79min",12909.681,4303.227,4303.227,21516.135,2025280.2,64595.414,4303.227
"497/273.1456mz/2.81min",307100.16,270554.66,343645.66,363801.72,524616.75,141545.3,65573.02
"499/158.0822mz/2.84min",56962.442,38857.586,47924.914,65999.97,499111.03,80452.48,32431.672
"501/330.0985mz/2.82min",1472409.36,5763436.5,6965603,137159.72,4207.0312,62136.8,2807659
"502/265.0176mz/2.83min",854813,995458.2,581386.6,787422.6,408588.28,922203.4,997132.9
"503/194.0458mz/2.82min",170667.56,108081.516,190395.98,262465.5,124343.2,204076.03,150939.14
"504/162.056mz/2.83min",384728.66,379977.88,510642.94,463138.7,207090,389479.44,253198
"505/473.1201mz/2.83min",41754.524,41754.524,41754.524,41754.524,208772.62,41754.524,41754.524
"506/136.0404mz/2.83min",88464.0275,26212.895,8866.729,654246.9,153461.77,150715.16,8072.451
"507/168.0302mz/2.83min",255989.439,8752.268,1750.4536,926407.2,1648776.1,481153.88,30824.998
"508/259.1299mz/2.83min",391573.385,267756.75,430545.66,708277.9,386380.97,396765.8,193162.97
"509/327.1199mz/2.83min",486220.525,541482.4,656530.7,471247.25,501193.8,365109.4,442769.3
"510/322.1256mz/2.83min",128805.05,78573.125,136155.5,209485.19,121454.6,137597.81,50202.656
"513/224.0645mz/2.84min",276790.3,299125.66,156049.86,561096.8,129021.23,254454.94,1319814.4
"514/197.0455mz/2.85min",57575.371,8235.716,1647.1432,261071.25,64531.047,110178.89,50619.695
"515/290.0671mz/2.84min",69468.64,69468.64,69468.64,69468.64,347343.2,69468.64,69468.64
"516/223.0612mz/2.84min",2911149.75,3201292.5,1605010.4,5638986,1459194.6,2621007,12290891
"518/360.1774mz/2.85min",494498.41,290459.7,303168.4,1329611.5,562250.94,1001719.56,426745.88
"519/241.1193mz/2.86min",159379.23,171890.66,179851.94,146867.8,200212.05,62438.117,56340.81
"520/107.0503mz/2.85min",142246.96,467996.53,628122.4,190237.14,76497.93,94256.78,58288.98
"521/151.0401mz/2.85min",758987.41,2151164,3175930,1040201.7,454467.38,477773.12,348401.9
"522/270.0983mz/2.85min",73801.0596,245683.98,441023.7,24600.3532,24600.3532,24600.3532,123001.766
"523/294.062mz/2.85min",250445.03,85167.24,5385.125,605577.44,340335.06,397089.06,160555
"525/229.1193mz/2.86min",52589.77,41681.33,20284.988,329583.22,466997.6,63498.21,14345.006
"526/188.0353mz/2.86min",32185.72865,3348.978,4575.8403,361542,235692.11,59795.617,669.7956
"527/215.0117mz/2.86min",108625.655,108596.47,108654.84,770479.8,17595.244,213257.06,73146.29
"531/265.083mz/2.87min",117881.1375,81713.586,106042.2,169399.52,161212.39,126747.055,109015.22
